restaurant_id,category_name,product_id,name,price,image
1,Antipasti,a1,Ravioli,11.19,url23
1,Antipasti,a2,Ravioli,6.99,url82
1,Antipasti,a3,Bruschetta,7.08,url13
1,Antipasti,a4,Lasagna,9.28,url69
1,Primi,p1,Spaghetti,21.99,url76
1,Primi,p2,Margherita Pizza,14.84,url86
1,Primi,p3,Margherita Pizza,11.91,url81
1,Secondi,s1,Spaghetti,9.1,url38
1,Secondi,s2,Margherita Pizza,21.7,url34
1,Secondi,s3,Bruschetta,5.99,url61
1,Dolci,d1,Lasagna,15.6,url79
1,Dolci,d2,Ravioli,19.27,url18
1,Dolci,d3,Spaghetti,21.91,url60
1,Dolci,d4,Tiramisu,24.25,url73
2,Mezze,m1,Grilled Octopus,21.29,url87
2,Mezze,m2,Grilled Octopus,12.58,url51
2,Mezze,m3,Baklava,24.63,url31
2,Seafood,s1,Falafel,18.03,url91
2,Seafood,s2,Baklava,13.13,url24
2,Seafood,s3,Greek Salad,11.43,url28
2,Seafood,s4,Lamb Kebab,16.38,url59
2,Grill,g1,Falafel,21.14,url6
2,Grill,g2,Lamb Kebab,14.68,url5
2,Grill,g3,Greek Salad,14.49,url45
2,Grill,g4,Greek Salad,18.7,url69
2,Desserts,d1,Greek Salad,11.91,url35
2,Desserts,d2,Falafel,18.19,url46
2,Desserts,d3,Lamb Kebab,21.71,url29
2,Desserts,d4,Baklava,24.23,url45
2,Desserts,d5,Greek Salad,13.55,url85
3,Starters,s1,Fajitas,8.0,url38
3,Starters,s2,Churros,22.36,url24
3,Starters,s3,Nachos,16.34,url32
3,Starters,s4,Fajitas,9.83,url67
3,Starters,s5,Churros,8.7,url94
3,Tacos,t1,Churros,7.62,url87
3,Tacos,t2,Churros,8.53,url56
3,Tacos,t3,Nachos,10.03,url91
3,Tacos,t4,Chicken Taco,7.78,url71
3,Mains,m1,Churros,8.36,url82
3,Mains,m2,Nachos,15.41,url100
3,Mains,m3,Burrito,10.1,url78
3,Mains,m4,Chicken Taco,16.78,url20
3,Desserts,d1,Fajitas,20.9,url67
3,Desserts,d2,Burrito,10.92,url58
3,Desserts,d3,Burrito,8.08,url22
3,Desserts,d4,Burrito,7.38,url55
3,Desserts,d5,Churros,14.45,url98
4,Dim Sum,d1,Dumplings,12.21,url19
4,Dim Sum,d2,Dumplings,10.8,url29
4,Dim Sum,d3,Sweet & Sour Chicken,14.02,url27
